 ,Angle,Length
1,0,53.959
2,0,53.972
3,0,54.023
4,0,53.907
5,0,53.766
6,0,53.805
7,0,53.650
8,0,53.470
9,0,53.406
10,0,52.995
11,0,52.468
12,0,51.915
13,0,51.324
14,0,50.758
15,0,50.219
16,0,49.704
17,0,49.203
18,0,48.599
19,0,48.085
20,0,47.571
21,0,47.018
22,0,46.620
23,0,46.131
24,0,45.630
25,0,45.193
26,0,44.653
27,0,44.229
28,0,43.830
29,0,43.470
30,0,43.008
31,0,42.622
32,0,42.211
33,0,41.877
34,0,41.491
35,0,41.170
36,0,40.861
37,0,40.476
38,0,40.180
39,0,39.859
40,0,39.524
41,0,39.203
42,0,38.920
43,0,38.663
44,0,38.380
45,0,38.162
46,0,37.879
47,0,37.648
48,0,37.365
49,0,37.134
50,0,36.825
51,0,36.799
